OID, value
.1.3.6.1.2.1.2.2.1.22.2,OID: ccitt.0
.1.3.6.1.2.1.2.2.1.22.3,OID: ccitt.0
.1.3.6.1.2.1.2.2.1.22.4,No Such Instance currently exists at this OID
.1.3.6.1.2.1.3.1.1.1.2.1.172.17.36.225,INTEGER: 2
.1.3.6.1.2.1.3.1.1.2.2.1.172.17.36.225,Hex-STRING: 40 71 9B 59 5F 70 
.1.3.6.1.2.1.3.1.1.3.2.1.172.17.36.225,IpAddress: 172.17.36.225
.1.3.6.1.2.1.3.1.1.1.3.1.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.3.1.1.2.3.1.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.3.1.1.3.3.1.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.1.0,INTEGER: 2
.1.3.6.1.2.1.4.2.0,INTEGER: 64
.1.3.6.1.2.1.4.3.0,Counter32: 108549
.1.3.6.1.2.1.4.4.0,Counter32: 0
.1.3.6.1.2.1.4.5.0,Counter32: 0
.1.3.6.1.2.1.4.6.0,Counter32: 0
.1.3.6.1.2.1.4.7.0,Counter32: 0
.1.3.6.1.2.1.4.8.0,Counter32: 0
.1.3.6.1.2.1.4.9.0,Counter32: 108546
.1.3.6.1.2.1.4.10.0,Counter32: 82842
.1.3.6.1.2.1.4.11.0,Counter32: 0
.1.3.6.1.2.1.4.12.0,Counter32: 1922
.1.3.6.1.2.1.4.13.0,INTEGER: 0
.1.3.6.1.2.1.4.14.0,Counter32: 0
.1.3.6.1.2.1.4.15.0,Counter32: 0
.1.3.6.1.2.1.4.16.0,Counter32: 0
.1.3.6.1.2.1.4.17.0,Counter32: 0
.1.3.6.1.2.1.4.18.0,Counter32: 0
.1.3.6.1.2.1.4.19.0,Counter32: 0
.1.3.6.1.2.1.4.20.1.1.127.0.0.1,IpAddress: 127.0.0.1
.1.3.6.1.2.1.4.20.1.2.127.0.0.1,INTEGER: 1
.1.3.6.1.2.1.4.20.1.3.127.0.0.1,IpAddress: 255.0.0.0
.1.3.6.1.2.1.4.20.1.4.127.0.0.1,INTEGER: 0
.1.3.6.1.2.1.4.20.1.5.127.0.0.1,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.21.1.1.172.17.32.0,IpAddress: 172.17.32.0
.1.3.6.1.2.1.4.21.1.2.172.17.32.0,INTEGER: 2
.1.3.6.1.2.1.4.21.1.3.172.17.32.0,INTEGER: 0
.1.3.6.1.2.1.4.21.1.4.172.17.32.0,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.21.1.5.172.17.32.0,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.21.1.6.172.17.32.0,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.21.1.7.172.17.32.0,IpAddress: 0.0.0.0
.1.3.6.1.2.1.4.21.1.8.172.17.32.0,INTEGER: 3
.1.3.6.1.2.1.4.21.1.9.172.17.32.0,INTEGER: 2
.1.3.6.1.2.1.4.21.1.10.172.17.32.0,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.21.1.11.172.17.32.0,IpAddress: 255.255.224.0
.1.3.6.1.2.1.4.21.1.13.172.17.32.0,OID: ccitt.0
.1.3.6.1.2.1.4.22.1.1.2.172.17.36.225,INTEGER: 2
